127,"[@VintageJxck, RT, piss, Chelsea, fan, https://t.co/TYO3uMdhGD]"
128,"[@BanatRepublik, Seek, respect, not, attention, It, longer]"
129,"[@MakaylaMashelle, skeptical, niggas, day, one, https://t.co/XzNg6FppeQ]"
130,"[@sydgotfans, Dear, God, Thank, you, mom, I, n't, know, where, I]"
131,"[@chintan20, When, unfortunately, Kathua, incident, happened, blame, Modi, handling, When, rapist, death, sentence, 23, days, Why]"
132,"[@1Romans58, Hey, John, wanted, you, know, I, throwing, party, day, you, sentenced, prison, Sleep, wellJohn, Kerry, Alleg]"
133,"[Dear, goodness, i, miss, you]"
134,"[@jintellectually, NOT, DRILL, BTS, FLYING, LA, TODAY, GOD, THINK, AIRPORT, PICTURES, NOT, DRILL, WE]"
135,"[@The_Trump_Train, @realDonaldTrump, President, Trumps, pressure, China, workingPeace, North, Korea, better, trade, deals, Nice]"
136,"[@SarahHanson21, family, I, nt, it, I, pictures, framed, our, basketball, team, Idc, I, love, it]"
137,"[40000, people, Read, it, weep, 60, Canada, https://t.co/zFwtHiFPbT]"
138,"[Y'all, look, gorgeous, bracelet, https://t.co/J7fzK0h3Ws]"
139,"[@PressSec, how, you, feel, week, white, house, press, https://t.co/xxw8QBcdyb]"
140,"[@joe_mussatto, awesome]"
141,"[Emma, Timeless]"
142,"[@adrimacias18, What, they, send, people, lol]"
143,"[@TheTimelessRoom, stay, lane, Timeless, https://t.co/XEhTEoUoWl]"
144,"[@SexuaIPosts, I, need, dog, when, tries, wake, me, morning, https://t.co/A1HSAH8otx]"
145,"[@speedboat_q, Real, life, https://t.co/WQ2aT3DydC]"
146,"[@OllieTheHobo, Random, local, Lil, Peep, depressing, Me, https://t.co/ctNmhTsCxy]"
147,"[@noahsalas, _, yo, I, not, feeling, today]"
148,"[@kwilli1046, American, I, worried, our, country, When, God, demonized, free, speech, restricted, constitutional, rights, assault]"
149,"[@iGun_ThatHo, nt, no, way, hell, Arbys, 2.9, Billion, bro, https://t.co/nW2cgiCwzn]"
150,"[@VALENTlNOBIX, they, ok, https://t.co/oDW8xBSx48]"
151,"[@yescene, we, it, Ramadan]"
152,"[@neil144man, @footbolistic, @MidfieldPress, reason, you, anonymous, easier, lie]"
153,"[loona, soldierval, ponky?me, dancing, girl, who, hell, ponky]"
154,"[@KAPTAlNKUSH, Oscar, you, nt, https://t.co/ATg8dUxGws]"
155,"[@maceoxo, you, disrespected, me, i, calm, bout, it, nt, trust, me]"
156,"[@Seancis4, I, like, attention, it, me]"
157,"[@BamBam1A, picture, LOVE, https://t.co/ypYwPJGpnu]"
158,"[i, sitting, bed, watching, justins, movie, seven, years, it, crying, bc, he, s, loml]"
159,"[I, received, reward, Brave, Fellow, https://t.co/y3JZ3iB3k9, Gameinsight, Androidgames, Android]"
160,"[I, thread, I, realized, it, nothing, marriage]"
161,"[Cmtv, cmtv, https://t.co/pLLCh6qH4V]"
162,"[@gjapex, @irisbellato, NOSSA, SIM, dai, materias, que, vc, quer, fazer, n, tem, ou, da, choque, de, horrio]"
163,"[@GreggRosenberg1, Elite8, @areacodes, 17U, recaphttps://t.co, /, VhtnBnWX0H, @bakeshow22, @ZayMarins, @kingdomartis, @ArizonaVarsity]"
164,"[@foxy_chelicerae, frog, what, true, trainers, strive]"
165,"[I, dumb, I, nt, know, when, likes, me]"
166,"[LMAO, CAROL, IT, COMING, Timeless, RenewTimeless, @NBCTimeless, @nbc]"
167,"[@Capitals, ESCALATED, QUICKLYCapsBolts, Game, 2, SECOND, INTERMISSION, UPDATE, presented, @CareFirst, Caps, 4, Lightning, 2, ALLCA]"
168,"[@cessxxii, kuya, EJ, he, 2nd, cousin, he, blind, idk, when, he, smart, we, admire, him, fo]"
169,"[10, Twitter, Changes, You, Know, You, Miss, Them, https://t.co/PxTM8nuHje, https://t.co/dLTTJ4TbnH]"
170,"[@Inspire_Us, smallest, act, love, biggest, space, heart]"
171,"[Love, u, it, hurts]"
172,"[@_yungfaggot, Men]"
173,"[Don, Williams, I, Believe, You, https://t.co/HZYQLGayN9]"
174,"[@wreckedbias97, Voting, BBMAs, starts, 12, ESTPass, it, ready, MTVLAFANARMYBTS, PremiosMTVMiaw, MTVBRKPOPBTS, @BTS_t]"
175,"[@eisorus, y', pokemon, card, illustrations, tepig, line, CUTEST, https://t.co/47qWeGnZ7o]"
176,"[@cararejuso, Hays, https://t.co/s7ns2wR3az]"
177,"[Good, feelshttps://t.co, /, WMnPaBnBki]"
178,"[@Pathgather, Thank, you, follow]"
179,"[@Alexander_Ryan3, Literally, best, hands]"
180,"[two, days, highschool, left, feeling, like, free, bitch, https://t.co/ji23jzptuS]"
181,"[@ARMYCLOCK_11AM, I, vote, BTS, Mic, Drop, @steveaoki, Remix, WhenTheBeatDrops, @radiodisney, @BTS_twt, Tweetto, vote, https://]"
182,"[@Plutarian_Vibes, I, nt, believe, time, original, video, https://t.co/VJ6vcTTtFK]"
183,"[@FoxNews, Forrest, Gump, It, led, me, begin, support, our, wounded, veterans, I, playing, t]"
184,"[@ChiziDuru, I, mom, two, personalized, candles, one, dad, hold, him, he, nt, guy]"
185,"[@lilbaked, what, aura, looks, like, https://t.co/3zzdRiJqg9]"
186,"[@LotusOak, New, Hepatitis, B, Vaccine, Studies, Disastrous, Results, Vaccinating, Newbornshttps://t.co/68o2d4H40AHepatitisB]"
187,"[@FamilyGuyonFOX, Posted, https://t.co/xFHkDL0tGB]"
188,"[Wowthey, asked, general, public, donations, help, payI, wonder, how, they, actually, https://t.co/s1A3wwYGT3]"
189,"[@Fossil, I, sent, you, message]"
190,"[@eemadig, best, brow, day, i, inna, minute, https://t.co/lOdUlc3ivb]"
191,"[@RitikaInsan8, SaintDrGurmeetRamRahimJi_Initiative123__Volunteers, @derasachasauda, ready, help, who, injured]"
192,"[@hippieswordfish, one, dairy, queen, nt, like, it, verge, total, collapse]"
193,"[18, people, followed, me, one, person, unfollowed, me, automatically, checked, https://t.co/D1gVXOqmh7]"
194,"[WAHAHAHAAHAHAHAH, https://t.co/HTETqBNGsN]"
195,"[you, told, me, how, you, love, smile, i, promise, i, stop, smiling, you, you, taught, me, t, https://t.co/t6dy51wmkh]"
196,"[@lana_rain, Chloe, lifeisstrange, https://t.co/6oFRHaTRbM]"
197,"[@Joy105com, you, redirect, flight, @HOHATL, @edeweysmith, joy105com, https://t.co/bvfFOdul77]"
198,"[@BiasedGirl, @GayPatriot, HIT, GOVERNMENT, LIKE, CUTTING, ADDICT, HEROIN]"
199,"[@greeneyedbecky, @KweenofDragonz, Wow, I, thinking, thing, basic, bitch, conservatives, whose, redundant, themes, accomplish]"
200,"[BITCH, I, WEEK, AGO, https://t.co/0MUbE3Jx5a]"
201,"[@itsBethanyDani, you, pray, it, https://t.co/n9xjNVk7W7]"
202,"[@omoissy, Barcelona, coach, resting, Messi, Champions, League, 3rd, place, playoff, https://t.co/yHQr308EZP]"
203,"[why, life, https://t.co/4MMcWqYrDs]"
204,"[@BillKristol, people, not, true, Christians, They, vindictive, sell, Hate, cave, Big, Money]"
205,"[@USA1stWins, @Thomas1774Paine, Dying, escaping, Which]"
206,"[@skammunism, strange, how, nt, sound, like, rip, roarin, good, time, you]"
207,"[@Diaryforcrush, I, pretend, ignore, you, I, miss, you]"
208,"[cries, good, film]"
